"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","school_enrolled_pct","income_under25kpct","income25k_49kpct","pop50k_74kpct","pop75k_99kpct","pop100koverpct","pov_below_line","pov_1_2overline","pov_doubleline"
"01001","05000US01001","Autauga County","Autauga County, Alabama","al",25.2248361840747,23.012076722709,19.7868813639593,18.0866682453232,14.0516220696188,25.0627515983898,15.3784351319273,16.1070026476764,68.5145622203962
"01003","05000US01003","Baldwin County","Baldwin County, Alabama","al",22.3204868555923,19.7412937854545,24.4397242502099,19.2617842334207,12.326066495383,24.231131235532,10.5660985024082,17.6597748488501,71.7741266487418
"01005","05000US01005","Barbour County","Barbour County, Alabama","al",20.9024605273704,38.7981711299804,26.2682342695406,14.3370346178968,8.77422164162857,11.8223383409536,28.8633181659083,23.9586979348967,47.177983899195
"01007","05000US01007","Bibb County","Bibb County, Alabama","al",20.2982335398027,27.4707602339181,26.1695906432749,16.6812865497076,14.6198830409357,15.0584795321637,13.9876880984952,24.9413718975962,61.0709400039085
"01009","05000US01009","Blount County","Blount County, Alabama","al",21.8725948200254,25.3932038834951,25.6990291262136,20.8592233009709,11.9466019417476,16.1019417475728,14.4003363582215,22.0297116428997,63.5699519988788
"01011","05000US01011","Bullock County","Bullock County, Alabama","al",22.4453101588253,42.532557495151,21.7234691050152,17.2901080631754,5.8464948739263,12.6073704627321,31.3856090422848,16.7221717630437,51.8922191946715
"01013","05000US01013","Butler County","Butler County, Alabama","al",21.3795947826984,33.974358974359,27.9516994633274,15.1013714967203,10.778175313059,12.1943947525343,23.5449332724413,24.5242807124372,51.9307860151215
"01015","05000US01015","Calhoun County","Calhoun County, Alabama","al",24.5911655824318,28.4946594719428,25.1904159172163,18.9327826260742,11.1851309040037,16.197011080763,18.5915467802574,22.8806672560524,58.5277859636903
"01017","05000US01017","Chambers County","Chambers County, Alabama","al",22.4226093879176,33.0941106836342,27.2565847883989,16.5951464930453,11.3569103284996,11.697247706422,16.6225882070085,28.4155797319228,54.9618320610687
"01019","05000US01019","Cherokee County","Cherokee County, Alabama","al",20.6610576923077,30.6336036205921,26.8904393739393,18.3009617197813,11.1540637375071,13.0209315481803,15.007254617466,27.3165758205561,57.676169561978
"01021","05000US01021","Chilton County","Chilton County, Alabama","al",23.3337276706495,27.8908721867351,26.3864843889917,18.5302370007761,11.1157542833264,16.0766521401707,18.5714285714286,23.1599630143319,58.2686084142395
"01023","05000US01023","Choctaw County","Choctaw County, Alabama","al",20.3960864762506,38.1682242990654,23.6261682242991,13.607476635514,9.6822429906542,14.9158878504673,22.2446601941748,24.6058252427184,53.1495145631068
"01025","05000US01025","Clarke County","Clarke County, Alabama","al",21.1195069441513,38.256037614875,24.4389826886087,14.1162641590083,8.70912588159863,14.4795896559094,25.4058339940742,19.9056879355673,54.6884780703585
"01027","05000US01027","Clay County","Clay County, Alabama","al",22.7601045028431,28.1894576012223,31.6653934300993,16.6921313980137,8.59434682964095,14.8586707410237,18.4432515337423,25.9815950920245,55.5751533742331
"01029","05000US01029","Cleburne County","Cleburne County, Alabama","al",22.8899903621093,33.2518337408313,25.2357666783095,19.3503318197695,8.08592385609501,14.0761439049948,18.5483320826796,23.4463469540896,58.0053209632308
"01031","05000US01031","Coffee County","Coffee County, Alabama","al",24.5020524538451,21.6938703320026,25.9032795997777,19.1823740461873,11.1577138814493,22.0627621405832,15.0568294324977,18.7339115282563,66.209259039246
"01033","05000US01033","Colbert County","Colbert County, Alabama","al",20.8933936789259,29.1481260608285,22.6891141795495,21.9321987247121,10.9408688471948,15.289692187715,16.2712303902502,20.4923042729344,63.2364653368154
"01035","05000US01035","Conecuh County","Conecuh County, Alabama","al",21.0608424336973,39.768255356362,29.2085701792742,17.0747704416266,7.54263226934849,6.40577175338872,22.2276068168969,36.1521686455052,41.6202245375979
"01037","05000US01037","Coosa County","Coosa County, Alabama","al",16.5947871741984,29.6124786741409,33.0977333658299,15.2571289300512,10.017060687302,12.0155983426761,13.9590508993494,26.9422120168389,59.0987370838117
"01039","05000US01039","Covington County","Covington County, Alabama","al",21.0536515143126,30.51039445629,26.7324093816631,17.5706289978678,11.3006396588486,13.8859275053305,18.318482479637,21.7487563548898,59.9327611654731
"01041","05000US01041","Crenshaw County","Crenshaw County, Alabama","al",22.2694400954298,34.4278606965174,24.6567164179104,17.6517412935323,9.37313432835821,13.8905472636816,15.7235927091721,28.0213747163458,56.2550325744821
"01043","05000US01043","Cullman County","Cullman County, Alabama","al",21.312939459881,27.7090790758217,29.3036121054344,18.0312398307842,9.96095021151969,14.99511877644,15.8376123234917,24.7210427569863,59.4413449195221
"01045","05000US01045","Dale County","Dale County, Alabama","al",24.5990884537475,28.4199250133905,25.5222281735404,19.3626138189609,10.5945366898768,16.1006963042314,18.3850879759268,23.1412212145275,58.4736908095457
"01047","05000US01047","Dallas County","Dallas County, Alabama","al",26.3997489474097,42.1523016650343,24.9877571008815,13.6079823702253,8.61900097943193,10.632957884427,31.0884906330913,25.4277301111844,43.4837792557242
"01049","05000US01049","DeKalb County","DeKalb County, Alabama","al",23.5055473964316,32.3013929282106,27.5639063217511,18.5443134853819,9.08464717587632,12.50574008878,22.075055187638,27.5425478886278,50.3823969237342
"01051","05000US01051","Elmore County","Elmore County, Alabama","al",23.5292617620808,20.1969598188244,21.9744020862643,18.7352022784202,14.5592423566551,24.534193459836,12.3391103634443,15.431060339319,72.2298292972367
