county14,cbsatype,county,cntyname2,pop10,afact
1001,Metro, ,Autauga AL,54571,1
1003,Metro, ,Baldwin AL,182265,1
1005,Micro, ,Barbour AL,27457,1
1007,Metro, ,Bibb AL,22915,1
1009,Metro, ,Blount AL,57322,1
1011, , ,Bullock AL,10914,1
1013, , ,Butler AL,20947,1
1015,Metro, ,Calhoun AL,118572,1
1017,Micro, ,Chambers AL,34215,1
1019, , ,Cherokee AL,25989,1
1021,Metro, ,Chilton AL,43643,1
1023, , ,Choctaw AL,13859,1
1025, , ,Clarke AL,25833,1
1027, , ,Clay AL,13932,1
1029, , ,Cleburne AL,14972,1
1031,Micro, ,Coffee AL,49948,1
1033,Metro, ,Colbert AL,54428,1
1035, , ,Conecuh AL,13228,1
1037,Micro, ,Coosa AL,11539,1
1039, , ,Covington AL,37765,1
1041, , ,Crenshaw AL,13906,1
1043,Micro, ,Cullman AL,80406,1
1045,Micro, ,Dale AL,50251,1
1047,Micro, ,Dallas AL,43820,1
1049,Micro, ,DeKalb AL,71109,1
1051,Metro, ,Elmore AL,79303,1
1053,Micro, ,Escambia AL,38319,1
1055,Metro, ,Etowah AL,104430,1
1057, , ,Fayette AL,17241,1
1059, , ,Franklin AL,31704,1
1061,Metro, ,Geneva AL,26790,1
1063, , ,Greene AL,9045,1
1065,Metro, ,Hale AL,15760,1
1067,Metro, ,Henry AL,17302,1
1069,Metro, ,Houston AL,101547,1
1071,Micro, ,Jackson AL,53227,1
1073,Metro, ,Jefferson AL,658466,1
1075, , ,Lamar AL,14564,1
1077,Metro, ,Lauderdale AL,92709,1
1079,Metro, ,Lawrence AL,34339,1
1081,Metro, ,Lee AL,140247,1
1083,Metro, ,Limestone AL,82782,1
1085,Metro, ,Lowndes AL,11299,1
1087, , ,Macon AL,21452,1
1089,Metro, ,Madison AL,334811,1
1091, , ,Marengo AL,21027,1
1093, , ,Marion AL,30776,1
1095,Micro, ,Marshall AL,93019,1
1097,Metro, ,Mobile AL,412992,1
1099, , ,Monroe AL,23068,1
1101,Metro, ,Montgomery AL,229363,1
1103,Metro, ,Morgan AL,119490,1
1105, , ,Perry AL,10591,1
1107,Metro, ,Pickens AL,19746,1
1109,Micro, ,Pike AL,32899,1
1111, , ,Randolph AL,22913,1
1113,Metro, ,Russell AL,52947,1
1115,Metro, ,St. Clair AL,83593,1
1117,Metro, ,Shelby AL,195085,1
1119, , ,Sumter AL,13763,1
1121,Micro, ,Talladega AL,82291,1
1123,Micro, ,Tallapoosa AL,41616,1
1125,Metro, ,Tuscaloosa AL,194656,1
1127,Metro, ,Walker AL,67023,1
1129, , ,Washington AL,17581,1
1131, , ,Wilcox AL,11670,1
1133, , ,Winston AL,24484,1
2013, , ,Aleutians East Borough AK,3141,1
2016, , ,Aleutians West Census Area AK,5561,1
2020,Metro, ,Anchorage Borough AK,291826,1
2050, , ,Bethel Census Area AK,17013,1
2060, , ,Bristol Bay Borough AK,997,1
2068, , ,Denali Borough AK,1826,1
2070, , ,Dillingham Census Area AK,4847,1
2090,Metro, ,Fairbanks North Star Borough AK,97581,1
2100, , ,Haines Borough AK,2508,1
2105, , ,Hoonah-Angoon Census Area,2150,1
2110,Micro, ,Juneau Borough AK,31275,1
2122, , ,Kenai Peninsula Borough AK,55400,1
2130,Micro, ,Ketchikan Gateway Borough AK,13477,1
2150, , ,Kodiak Island Borough AK,13592,1
2164, , ,Lake and Peninsula Borough AK,1631,1
2170,Metro, ,Matanuska-Susitna Borough AK,88995,1
2180, , ,Nome Census Area AK,9492,1
2185, , ,North Slope Borough AK,9430,1
2188, , ,Northwest Arctic Borough AK,7523,1
2195, , ,Petersburg Census Area,3815,1
2198, , ,Prince of Wales-Hyder Census Area,5559,1
2220, , ,Sitka Borough AK,8881,1
2230, , ,Skagway Municipality,968,1
