"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","pop3over","school_enrolled","school_not_enrolled","households","pop_under25k","pop25k_49k","pop50k_74k","pop75k_99k","pop100kover","median_income","pov_denom","pov_under2q","pov2q_3q","pov3q_4q","pov4q_6q","pov6q_8q","pov_over8q","school_enrolled_pct","income_under25kpct","income25k_49kpct","pop50k_74kpct","pop75k_99kpct","pop100koverpct","pov_below_line","pov_1_2overline","pov_doubleline"
"01001","05000US01001","Autauga County","Autauga County, Alabama","al",53261,13435,39826,21115,4859,4178,3819,2967,5292,58786,54765,3364,2449,2609,4685,4136,37522,25.2248361840747,23.012076722709,19.7868813639593,18.0866682453232,14.0516220696188,25.0627515983898,15.3784351319273,16.1070026476764,68.5145622203962
"01003","05000US01003","Baldwin County","Baldwin County, Alabama","al",201949,45076,156873,78622,15521,19215,15144,9691,19051,55962,204929,9186,5694,6773,16239,19951,147086,22.3204868555923,19.7412937854545,24.4397242502099,19.2617842334207,12.326066495383,24.231131235532,10.5660985024082,17.6597748488501,71.7741266487418
"01005","05000US01005","Barbour County","Barbour County, Alabama","al",24954,5216,19738,9186,3564,2413,1317,806,1086,34186,22856,2914,1780,1903,2701,2775,10783,20.9024605273704,38.7981711299804,26.2682342695406,14.3370346178968,8.77422164162857,11.8223383409536,28.8633181659083,23.9586979348967,47.177983899195
"01007","05000US01007","Bibb County","Bibb County, Alabama","al",21795,4424,17371,6840,1879,1790,1141,1000,1030,45340,20468,1207,493,1163,2482,2623,12500,20.2982335398027,27.4707602339181,26.1695906432749,16.6812865497076,14.6198830409357,15.0584795321637,13.9876880984952,24.9413718975962,61.0709400039085
"01009","05000US01009","Blount County","Blount County, Alabama","al",55869,12220,43649,20600,5231,5294,4297,2461,3317,48695,57082,4173,2178,1869,6305,6270,36287,21.8725948200254,25.3932038834951,25.6990291262136,20.8592233009709,11.9466019417476,16.1019417475728,14.4003363582215,22.0297116428997,63.5699519988788
"01011","05000US01011","Bullock County","Bullock County, Alabama","al",10011,2247,7764,3609,1535,784,624,211,455,32152,9909,1750,536,824,916,741,5142,22.4453101588253,42.532557495151,21.7234691050152,17.2901080631754,5.8464948739263,12.6073704627321,31.3856090422848,16.7221717630437,51.8922191946715
"01013","05000US01013","Butler County","Butler County, Alabama","al",19397,4147,15250,6708,2279,1875,1013,723,818,39109,19707,1511,1421,1708,2849,1984,10234,21.3795947826984,33.974358974359,27.9516994633274,15.1013714967203,10.778175313059,12.1943947525343,23.5449332724413,24.5242807124372,51.9307860151215
"01015","05000US01015","Calhoun County","Calhoun County, Alabama","al",111292,27368,83924,45033,12832,11344,8526,5037,7294,45197,111981,8264,6062,6493,12864,12758,65540,24.5911655824318,28.4946594719428,25.1904159172163,18.9327826260742,11.1851309040037,16.197011080763,18.5915467802574,22.8806672560524,58.5277859636903
"01017","05000US01017","Chambers County","Chambers County, Alabama","al",32659,7323,25336,13516,4473,3684,2243,1535,1581,39872,33274,2213,1483,1835,4885,4570,18288,22.4226093879176,33.0941106836342,27.2565847883989,16.5951464930453,11.3569103284996,11.697247706422,16.6225882070085,28.4155797319228,54.9618320610687
"01019","05000US01019","Cherokee County","Cherokee County, Alabama","al",24960,5157,19803,10606,3249,2852,1941,1183,1381,41014,25501,1425,1373,1029,3494,3472,14708,20.6610576923077,30.6336036205921,26.8904393739393,18.3009617197813,11.1540637375071,13.0209315481803,15.007254617466,27.3165758205561,57.676169561978
"01021","05000US01021","Chilton County","Chilton County, Alabama","al",42265,9862,32403,16751,4672,4420,3104,1862,2693,45182,43260,3276,1524,3234,5681,4338,25207,23.3337276706495,27.8908721867351,26.3864843889917,18.5302370007761,11.1157542833264,16.0766521401707,18.5714285714286,23.1599630143319,58.2686084142395
"01023","05000US01023","Choctaw County","Choctaw County, Alabama","al",12674,2585,10089,5350,2042,1264,728,518,798,34884,12875,1141,1082,641,1505,1663,6843,20.3960864762506,38.1682242990654,23.6261682242991,13.607476635514,9.6822429906542,14.9158878504673,22.2446601941748,24.6058252427184,53.1495145631068
"01025","05000US01025","Clarke County","Clarke County, Alabama","al",23689,5003,18686,9358,3580,2287,1321,815,1355,36127,23963,3255,1727,1106,2681,2089,13105,21.1195069441513,38.256037614875,24.4389826886087,14.1162641590083,8.70912588159863,14.4795896559094,25.4058339940742,19.9056879355673,54.6884780703585
"01027","05000US01027","Clay County","Clay County, Alabama","al",13014,2962,10052,5236,1476,1658,874,450,778,41225,13040,766,850,789,1598,1790,7247,22.7601045028431,28.1894576012223,31.6653934300993,16.6921313980137,8.59434682964095,14.8586707410237,18.4432515337423,25.9815950920245,55.5751533742331
"01029","05000US01029","Cleburne County","Cleburne County, Alabama","al",14526,3325,11201,5726,1904,1445,1108,463,806,40188,14659,697,1014,1008,1418,2019,8503,22.8899903621093,33.2518337408313,25.2357666783095,19.3503318197695,8.08592385609501,14.0761439049948,18.5483320826796,23.4463469540896,58.0053209632308
"01031","05000US01031","Coffee County","Coffee County, Alabama","al",49453,12117,37336,19789,4293,5126,3796,2208,4366,53155,50502,3237,1829,2538,4262,5199,33437,24.5020524538451,21.6938703320026,25.9032795997777,19.1823740461873,11.1577138814493,22.0627621405832,15.0568294324977,18.7339115282563,66.209259039246
"01033","05000US01033","Colbert County","Colbert County, Alabama","al",52586,10987,41599,21799,6354,4946,4781,2385,3333,47558,53991,3086,2858,2841,5378,5686,34142,20.8933936789259,29.1481260608285,22.6891141795495,21.9321987247121,10.9408688471948,15.289692187715,16.2712303902502,20.4923042729344,63.2364653368154
"01035","05000US01035","Conecuh County","Conecuh County, Alabama","al",12179,2565,9614,4574,1819,1336,781,345,293,33177,12381,1178,513,1061,2166,2310,5153,21.0608424336973,39.768255356362,29.2085701792742,17.0747704416266,7.54263226934849,6.40577175338872,22.2276068168969,36.1521686455052,41.6202245375979
