"title","var","jenks1","jenks2","jenks3","jenks4","jenks5","jenks6","date_updated"
"Deaths per capita","total_pop","0","4.36036552321272e-05","0.000161511749979811","0.000408580183861083","0.00104384133611691","0.00295712173484475","2021-01-08"
"Cases per capita","pop_ppsm","0","0.00135380806869609","0.00408742428734805","0.00890197555380559","0.0273662450164887","0.136007521153243","2021-01-08"
"Deaths per 100k","gini_index","0","4.36036552321272","16.1511749979811","40.8580183861083","104.384133611691","295.712173484475","2021-01-08"
"Cases per 100k","white_pct","0","135.380806869609","408.742428734805","890.197555380559","2736.62450164887","13600.7521153243","2021-01-08"
