"elec_name","acs_name","same_name","town_match","acs_name2","same_name2"
"LITTLETON","LITTLETON TOWN",0,1,"LITTLETON",1
"LONGMEADOW","LONGMEADOW TOWN",0,1,"LONGMEADOW",1
"LOWELL","LOWELL CITY",0,1,"LOWELL",1
"LUDLOW","LUDLOW TOWN",0,1,"LUDLOW",1
"LUNENBURG","LUNENBURG TOWN",0,1,"LUNENBURG",1
"LYNN","LYNN CITY",0,1,"LYNN",1
"LYNNFIELD","LYNNFIELD TOWN",0,1,"LYNNFIELD",1
"MALDEN","MALDEN CITY",0,1,"MALDEN",1
"MANSFIELD","MANSFIELD TOWN",0,1,"MANSFIELD",1
"MARBLEHEAD","MARBLEHEAD TOWN",0,1,"MARBLEHEAD",1
"MARION","MARION TOWN",0,1,"MARION",1
"MARLBOROUGH","MARLBOROUGH CITY",0,1,"MARLBOROUGH",1
"MARSHFIELD","MARSHFIELD TOWN",0,1,"MARSHFIELD",1
"MASHPEE","MASHPEE TOWN",0,1,"MASHPEE",1
"MATTAPOISETT","MATTAPOISETT TOWN",0,1,"MATTAPOISETT",1
"MAYNARD","MAYNARD TOWN",0,1,"MAYNARD",1
"MEDFIELD","MEDFIELD TOWN",0,1,"MEDFIELD",1
"MEDFORD","MEDFORD CITY",0,1,"MEDFORD",1
"MEDWAY","MEDWAY TOWN",0,1,"MEDWAY",1
"MELROSE","MELROSE CITY",0,1,"MELROSE",1
"MENDON","MENDON TOWN",0,1,"MENDON",1
"MERRIMAC","MERRIMAC TOWN",0,1,"MERRIMAC",1
"METHUEN","METHUEN TOWN CITY",0,1,"METHUEN",1
"MIDDLEBOROUGH","MIDDLEBOROUGH TOWN",0,1,"MIDDLEBOROUGH",1
"MIDDLEFIELD","MIDDLEFIELD TOWN",0,1,"MIDDLEFIELD",1
"MIDDLETON","MIDDLETON TOWN",0,1,"MIDDLETON",1
"MILFORD","MILFORD TOWN",0,1,"MILFORD",1
"MILLBURY","MILLBURY TOWN",0,1,"MILLBURY",1
"MILLIS","MILLIS TOWN",0,1,"MILLIS",1
"MILLVILLE","MILLVILLE TOWN",0,1,"MILLVILLE",1
"MILTON","MILTON TOWN",0,1,"MILTON",1
"MONROE","MONROE TOWN",0,1,"MONROE",1
