Town,County,Population
Franklin,Hancock,"1,505"
Greenbush,Penobscot,"1,500"
Porter,Oxford,"1,490"
Guilford,Piscataquis,"1,489"
Bradley,Penobscot,"1,477"
Surry,Hancock,"1,459"
Baileyville,Washington,"1,456"
Mars Hill,Aroostook,"1,432"
Cornish,York,"1,412"
Searsmont,Waldo,"1,406"
Hebron,Oxford,"1,401"
New Sharon,Franklin,"1,397"
Charleston,Penobscot,"1,388"
Castine,Hancock,"1,373"
Swanville,Waldo,"1,373"
Plymouth,Penobscot,"1,361"
Appleton,Knox,"1,348"
Kenduskeag,Penobscot,"1,339"
Chesterville,Franklin,"1,330"
Medway,Penobscot,"1,326"
Cornville,Somerset,"1,326"
Jonesport,Washington,"1,324"
East Machias,Washington,"1,309"
Lubec,Washington,"1,296"
Milbridge,Washington,"1,294"
Hodgdon,Aroostook,"1,286"
Sangerville,Piscataquis,"1,285"
Woodstock,Oxford,"1,263"
Bradford,Penobscot,"1,257"
Penobscot,Hancock,"1,251"
Sullivan,Hancock,"1,249"
Addison,Washington,"1,234"
Ashland,Aroostook,"1,234"
Edgecomb,Lincoln,"1,230"
Etna,Penobscot,"1,222"
Easton,Aroostook,"1,221"
Howland,Penobscot,"1,204"
Stetson,Penobscot,"1,203"
Brownville,Piscataquis,"1,198"
Hartford,Oxford,"1,192"
Strong,Franklin,"1,191"
Sedgwick,Hancock,"1,182"
Burnham,Waldo,"1,178"
Cherryfield,Washington,"1,172"
Woodland,Aroostook,"1,157"
Rangeley,Franklin,"1,153"
Vinalhaven,Knox,"1,151"
Wayne,Kennebec,"1,150"
Dixmont,Penobscot,"1,149"
Friendship,Knox,"1,144"
Denmark,Oxford,"1,143"
Frankfort,Waldo,"1,141"
Lovell,Oxford,"1,133"
Fayette,Kennebec,"1,124"
Steuben,Washington,"1,104"
Brooks,Waldo,"1,091"
Machiasport,Washington,"1,079"
Garland,Penobscot,"1,079"
Exeter,Penobscot,"1,076"
Montville,Waldo,"1,047"
Georgetown,Sagadahoc,"1,045"
Solon,Somerset,"1,045"
Frenchville,Aroostook,"1,037"
Troy,Waldo,"1,037"
Stonington,Hancock,"1,031"
Littleton,Aroostook,"1,014"
Phillips,Franklin,"1,008"
Athens,Somerset,"1,007"
Smithfield,Somerset,999
Patten,Penobscot,994
Rome,Kennebec,991
Canton,Oxford,978
Harrington,Washington,963
Kingfield,Franklin,963
Sumner,Oxford,940
Embden,Somerset,938
Perry,Washington,935
Linneus,Aroostook,933
Liberty,Waldo,929
Harmony,Somerset,928
Brooksville,Hancock,925
Belmont,Waldo,921
Ogunquit,York,912
Industry,Franklin,910
Clifton,Penobscot,908
Monroe,Waldo,902
Lee,Penobscot,899
Thorndike,Waldo,892
South Bristol,Lincoln,888
Morrill,Waldo,888
Bingham,Somerset,881
Alton,Penobscot,866
Jackman,Somerset,853
Waldo,Waldo,842
Greenwood,Oxford,833
Eagle Lake,Aroostook,826
Parkman,Piscataquis,825
Detroit,Somerset,824
Brooklin,Hancock,816
Island Falls,Aroostook,805
Sherman,Aroostook,805
Knox,Waldo,805
Andover,Oxford,804
Bremen,Lincoln,793
Pembroke,Washington,792
Princeton,Washington,792
New Vineyard,Franklin,775
Carrabassett Valley,Franklin,773
Monticello,Aroostook,753
Freedom,Waldo,729
Prospect,Waldo,719
St. Agatha,Aroostook,719
Westport Island,Lincoln,716
Alna,Lincoln,715
New Portland,Somerset,710
Oakfield,Aroostook,701
Abbot,Piscataquis,698
Blaine,Aroostook,690
Lagrange,Penobscot,689
Otis,Hancock,668
Mattawamkeag,Penobscot,667
Monson,Piscataquis,659
Mercer,Somerset,659
Starks,Somerset,629
Eustis,Franklin,608
Sebec,Piscataquis,603
Southport,Lincoln,589
New Sweden,Aroostook,584
Bridgewater,Aroostook,583
Danforth,Washington,576
Jonesboro,Washington,573
Vienna,Kennebec,569
Islesboro,Waldo,567
Jackson,Waldo,556
Somerville,Lincoln,553
Robbinston,Washington,551
Carthage,Franklin,551
Verona Island,Hancock,540
Columbia Falls,Washington,537
Chester,Penobscot,537
Wallagrass,Aroostook,527
Mariaville,Hancock,524
Westfield,Aroostook,520
Temple,Franklin,516
Winter Harbor,Hancock,515
Marshfield,Washington,508
Moscow,Somerset,506
Beals,Washington,494
Cutler,Washington,492
Alexander,Washington,486
New Limerick,Aroostook,484
Whiting,Washington,478
Ripley,Somerset,476
Columbia,Washington,466
St. Francis,Aroostook,456
Avon,Franklin,453
Cambridge,Somerset,447
Chapman,Aroostook,447
Grand Isle,Aroostook,446
Arrowsic,Sagadahoc,440
Smyrna,Aroostook,427
Eastbrook,Hancock,421
Springfield,Penobscot,419
Burlington,Penobscot,418
Stow,Oxford,418
Weld,Franklin,411
Winn,Penobscot,408
Castle Hill,Aroostook,398
Sweden,Oxford,394
Stacyville,Penobscot,389
Ludlow,Aroostook,379
Portage Lake,Aroostook,376
Perham,Aroostook,367
Lowell,Penobscot,362
Roxbury,Oxford,360
Passadumkeag,Penobscot,360
North Haven,Knox,353
Chebeague Island,Cumberland,349
Newry,Oxford,348
Waltham,Hancock,344
Swan's Island,Hancock,330
Dennysville,Washington,328
Charlotte,Washington,318
New Canada,Aroostook,313
Roque Bluffs,Washington,290
Caswell,Aroostook,287
Sorrento,Hancock,272
Wade,Aroostook,270
Amherst,Hancock,263
Merrill,Aroostook,263
Crystal,Aroostook,257
Medford,Piscataquis,255
Hanover,Oxford,252
Woodville,Penobscot,246
Wellington,Piscataquis,245
Stockholm,Aroostook,242
Long Island,Cumberland,238
Masardis,Aroostook,238
Stoneham,Oxford,236
Topsfield,Washington,227
Amity,Aroostook,227
Allagash,Aroostook,225
Shirley,Piscataquis,224
Weston,Aroostook,218
Moose River,Somerset,216
Whitneyville,Washington,211
Hamlin,Aroostook,210
Gilead,Oxford,206
Dyer Brook,Aroostook,200
Mount Chase,Penobscot,198
Meddybemps,Washington,151
Cooper,Washington,148
Byron,Oxford,144
Northfield,Washington,142
Willimantic,Piscataquis,142
Orient,Aroostook,141
Cranberry Isles,Hancock,139
Vanceboro,Washington,134
Edinburg,Penobscot,129
Beaver Cove,Piscataquis,117
Haynesville,Aroostook,116
Aurora,Hancock,113
Bowerbank,Piscataquis,113
Hammond,Aroostook,113
Upton,Oxford,111
Lakeville,Penobscot,103
Maxfield,Penobscot,102
Crawford,Washington,98
Waite,Washington,97
Wesley,Washington,94
Hersey,Aroostook,79
Isle au Haut,Knox,72
Caratunk,Somerset,67
Osborn,Hancock,67
Frenchboro,Hancock,61
Talmadge,Washington,61
Westmanland,Aroostook,59
Great Pond,Hancock,58
Deblois,Washington,55
Beddington,Washington,48
Frye Island,Cumberland,5
